Tick,NestId,Inactive,Assessing,Recruiting,Reversing
155500,2,3,9,21,0
156000,0,145,3,0,0
156000,1,0,7,2,0
156000,2,3,8,22,0
156500,0,145,3,0,0
156500,1,0,7,2,0
156500,2,4,8,22,0
157000,0,145,3,0,0
157000,1,0,7,2,0
157000,2,4,8,22,0
157500,0,145,3,0,0
157500,1,0,7,2,0
157500,2,4,9,22,0
158000,0,145,4,0,0
158000,1,0,7,2,0
158000,2,4,9,21,0
158500,0,145,4,0,0
158500,1,0,7,2,0
158500,2,4,9,21,0
159000,0,145,3,0,0
159000,1,0,7,2,0
159000,2,4,9,22,0
159500,0,144,3,0,0
159500,1,0,7,2,0
159500,2,4,9,22,0
160000,0,144,3,0,0
160000,1,0,8,2,0
160000,2,5,10,22,0
160500,0,144,3,0,0
160500,1,0,7,2,0
160500,2,5,10,22,0
161000,0,144,5,0,0
161000,1,0,7,2,0
161000,2,5,10,20,0
161500,0,144,5,0,0
161500,1,0,7,2,0
161500,2,5,10,20,0
162000,0,144,5,0,0
162000,1,0,7,2,0
162000,2,5,9,20,0
162500,0,144,5,0,0
162500,1,0,7,2,0
162500,2,5,9,20,0
163000,0,144,5,0,0
163000,1,0,7,2,0
163000,2,5,9,20,0
163500,0,144,5,0,0
163500,1,0,7,2,0
163500,2,5,9,20,0
164000,0,143,5,0,0
164000,1,0,7,2,0
164000,2,5,10,20,0
164500,0,143,5,0,0
164500,1,0,6,2,0
164500,2,5,11,21,0
165000,0,143,5,0,0
165000,1,0,6,2,0
165000,2,5,11,21,0
165500,0,143,5,0,0
165500,1,0,6,2,0
165500,2,5,10,22,0
166000,0,143,5,0,0
166000,1,0,6,2,0
166000,2,5,10,22,0
166500,0,143,5,0,0
166500,1,0,5,2,0
166500,2,5,8,23,0
167000,0,143,5,0,0
167000,1,0,5,2,0
167000,2,5,8,23,0
167500,0,143,5,0,0
167500,1,0,5,2,0
167500,2,5,8,23,0
168000,0,142,5,0,0
168000,1,0,5,2,0
168000,2,5,9,23,0
168500,0,142,5,0,0
168500,1,0,5,2,0
168500,2,6,10,21,1
169000,0,142,5,0,0
169000,1,0,5,2,0
169000,2,6,10,23,0
169500,0,142,5,0,0
169500,1,0,5,2,0
169500,2,6,11,22,0
170000,0,142,5,0,0
170000,1,0,5,2,0
170000,2,7,11,22,0
170500,0,142,5,0,0
170500,1,0,3,2,0
170500,2,7,11,23,0
171000,0,142,5,0,0
171000,1,0,3,2,0
171000,2,7,12,22,0
171500,0,142,6,0,0
171500,1,0,2,2,0
171500,2,7,11,23,0
172000,0,142,6,0,0
172000,1,0,2,2,0
172000,2,7,11,23,0
172500,0,141,6,0,0
172500,1,0,2,2,0
172500,2,7,11,23,0
173000,0,140,6,0,0
173000,1,0,2,2,0
173000,2,7,11,23,0
173500,0,139,6,0,0
173500,1,0,2,2,0
173500,2,7,11,23,0
174000,0,137,6,0,0
174000,1,0,2,2,0
174000,2,7,11,23,0
174500,0,137,6,0,0
174500,1,0,2,2,0
174500,2,7,11,23,0
175000,0,137,5,0,0
175000,1,0,2,2,0
175000,2,7,11,24,0
175500,0,137,5,0,0
175500,1,0,3,2,0
175500,2,8,11,22,1
176000,0,137,5,0,0
176000,1,0,3,2,0
176000,2,8,11,23,0
176500,0,137,5,0,0
176500,1,0,3,2,0
176500,2,10,10,21,0
177000,0,136,5,0,0
177000,1,0,3,2,0
177000,2,10,11,21,0
177500,0,135,5,0,0
